Total,Crew,Passenger,Ground,Type,Incident,Aircraft,Location,Phase,Airport,Distance,
"1,700",11,81,"1,600",INH,American Airlines Flight 11,Boeing 767-223ER,"New York City, New York, U.S.","ENR
[11]",,,2001-09-11
"1,000",9,56,900,INH,United Airlines Flight 175,Boeing 767-222,"New York City, New York, U.S.","ENR
[12]",,,2001-09-11
583,23,560,0,COM,"Pan Am Flight 1736 and
KLM Flight 4805",Boeing 747-121 and Boeing 747-206B,"Tenerife, Spain","TXI/TOF
[10][16][17]",TFN,,1977-03-27
520,15,505,0,COM,Japan Airlines Flight 123,Boeing 747SR-46,"Ueno, Japan","ENR
[18][19]",,,1985-08-12
349,33,316,0,COM,"Saudi Arabian Flight 763 and
Kazakhstan Airlines Flight 1907",Boeing 747-168B and Ilyushin Il-76TD,"Charkhi Dadri, India","ENR
[20][21]",,,1996-11-12
346,11,335,0,COM,Turkish Airlines Flight 981,McDonnell Douglas DC-10-10,"Fontaine-Chaalis, France","ENR
[22][23]
[24]",,,1974-03-03
329,22,307,0,INB,Air India Flight 182,Boeing 747-237B,"Atlantic Ocean, area of Cork, Ireland","ENR
[25]",,,1985-06-23
301,14,287,0,COM,Saudia Flight 163,Lockheed L-1011-200 TriStar,"Riyadh, Saudi Arabia","ENR
[26]",,,1980-08-19
298,15,283,0,EXG,Malaysia Airlines Flight 17,Boeing 777-2H6ER,"near Hrabove, Donetsk Oblast, Ukraine","ENR
[27]",,,2014-07-17
290,16,274,0,EXG,Iran Air Flight 655,Airbus A300B2-203,"Strait of Hormuz, off Shib Deraz, Iran","ENR
[28]",,,1988-07-03
275,18,257,0,MIL,Iranian Air Force (15-2280),Ilyushin Il-76MD,"near Kerman, Iran","ENR
[29]",,,2003-02-19
273,13,258,2,COM,American Airlines Flight 191,McDonnell Douglas DC-10-10,"Des Plaines, Illinois, U.S.","TOF
[30][31]
[32][nb 3]",ORD,"1.4 km
(0.87 mi)",1979-05-25
270,16,243,11,INB,Pan Am Flight 103,Boeing 747-121,"Lockerbie, United Kingdom","ENR
[34]",,,1988-12-21
269,23,246,0,EXS,Korean Air Lines Flight 007,Boeing 747-230B,"Sea of Japan, near Moneron Island, Russian SFSR, USSR","ENR
[35]",,,1983-09-01
265,9,251,5,COM,American Airlines Flight 587,Airbus A300B4-605R,"Belle Harbor, New York City, New York, U.S.","ENR
[36][37]",,,2001-11-12
264,15,249,0,COM,China Airlines Flight 140,Airbus A300B4-622R,"Komaki, Japan","APR
[38][39]",NKM,"<0.1 km
(0.06 mi)",1994-04-26
